fundISINCode,managerID,managerName,managerStartDate,managerEndDate,reportDate
"LU0047713382","180629","Gordon Fraser","2017-03-29","","2022-01-07"
"LU0047713382","198010","Kevin Jia","2020-04-01","","2022-01-07"
"LU0051755006","106748","Howard Wang","2005-09-20","","2022-01-07"
"LU0051755006","187950","Rebecca Jiang","2017-07-03","","2022-01-07"
"LU0052864419","151037","Ido Cohen","2011-05-02","","2022-01-07"
"LU0052864419","84919","Juan Hartsfield","2009-01-23","","2022-01-07"
"LU0053666078","75119","Timothy Parton","2017-02-17","","2022-01-07"
"LU0053666078","9310","Jonathan Simon","2014-01-31","","2022-01-07"
"LU0053685615","119482","Leon Eidelman","2013-02-15","","2022-01-07"
"LU0053685615","99410","Austin Forey","1997-01-07","","2022-01-07"
"LU0056508442","107978","Tony Kim","2017-07-03","","2022-01-07"
"LU0058720904","169430","Vinay Thapar","2013-04-01","","2022-01-07"
"LU0058720904","9924","John Fogarty","2019-09-30","","2022-01-07"
"LU0060230025","10068","Samantha Lau","2015-01-01","","2022-01-07"
"LU0060230025","187082","Lei Qiu","2016-03-01","","2022-01-07"
"LU0072462426","179644","Russ Koesterich","2017-01-01","","2022-01-07"
"LU0072462426","185834","David Clayton","2017-01-01","","2022-01-07"
"LU0072462426","194004","Rick Reider","2019-04-01","","2022-01-07"
"LU0079474960","169430","Vinay Thapar","2018-04-11","","2022-01-07"
"LU0079474960","374","Frank Caruso","2012-03-31","","2022-01-07"
"LU0079474960","9924","John Fogarty","2012-03-31","","2022-01-07"
"LU0082616367","185350","Joseph Wilson","2017-02-17","","2022-01-07"
"LU0082616367","206756","Eric Ghernati","2021-05-31","","2022-01-07"
"LU0089639750","161002","Caroline Keen","2020-01-31","","2022-01-07"
"LU0089639750","80986","Alex Stanic","2017-08-24","","2022-01-07"
"LU0093502762","132164","Andreas Zoellinger","2007-11-01","","2022-01-07"
"LU0093502762","193309","Tom Joy","2019-02-01","","2022-01-07"
"LU0093503497","178903","Conan McKenzie","2018-05-01","","2022-01-07"
"LU0093503497","190569","Jason Byrom","2018-05-01","","2022-01-07"
"LU0104030142","104992","Jonathan Ingram","2007-03-01","","2022-01-07"
"LU0104030142","106872","John Baker","2007-03-01","","2022-01-07"
"LU0104030142","193992","Alex Whyte","2019-04-01","","2022-01-07"
"LU0106831901","179262","Vasco Moreno","2015-05-01","","2022-01-07"
"LU0117841782","106748","Howard Wang","2005-08-01","","2022-01-07"
"LU0117841782","187950","Rebecca Jiang","2017-07-03","","2022-01-07"
"LU0119062650","104992","Jonathan Ingram","2007-03-01","","2022-01-07"
"LU0119062650","106872","John Baker","2005-02-01","","2022-01-07"
"LU0119062650","170385","Blake Crawford","2019-04-01","","2022-01-07"
"LU0122379950","75178","Erin Xie","2011-04-01","","2022-01-07"
"LU0124384867","181447","Alastair Bishop","2015-11-02","","2022-01-07"
"LU0124384867","190041","Charlie Lilford","2018-03-01","","2022-01-07"
"LU0143551892","116050","David Eiswert","2012-09-30","","2022-01-07"
"LU0154237225","160663","Scott MacLellan","2013-01-01","","2022-01-07"
"LU0154237225","75613","Thomas Musmanno","2008-07-01","","2022-01-07"
"LU0174119429","117027","Taymour Tamaddon","2017-01-01","","2022-01-07"
"LU0203202907","148762","Daniel Loewy","2011-04-15","","2022-01-07"
"LU0203202907","172742","Alexander Barenboym","2015-12-31","","2022-01-07"
"LU0207127084","5195","Michael Conelius","2004-12-31","","2022-01-07"
"LU0210528500","75119","Timothy Parton","2017-02-17","","2022-01-07"
"LU0210528500","9310","Jonathan Simon","2014-01-31","","2022-01-07"
"LU0210529656","119482","Leon Eidelman","2013-02-15","","2022-01-07"
"LU0210529656","99410","Austin Forey","1997-01-07","","2022-01-07"
"LU0210532015","104992","Jonathan Ingram","2007-03-01","","2022-01-07"
"LU0210532015","106872","John Baker","2007-03-01","","2022-01-07"
"LU0210532015","193992","Alex Whyte","2019-04-01","","2022-01-07"
"LU0210533765","161002","Caroline Keen","2020-01-31","","2022-01-07"
"LU0210533765","80986","Alex Stanic","2017-08-24","","2022-01-07"
"LU0224105477","187579","Giles Rothbarth","2019-02-01","","2022-01-07"
"LU0238689110","179644","Russ Koesterich","2017-01-31","","2022-01-07"
"LU0238689110","185834","David Clayton","2017-01-31","","2022-01-07"
"LU0256840447","166808","Andreas Hildebrand","2017-06-01","","2022-01-07"
"LU0256840447","197881","Darina Valkova","2020-05-12","","2022-01-07"
"LU0272423673","117067","Shawn Driscoll","2013-10-01","","2022-01-07"
"LU0336377303","125896","BellendaSara","2017-09-29","","2022-01-07"
"LU0336377303","129740","Alan Supple","2016-06-01","","2022-01-07"
"LU0344579056","10024","Robert Cook","2004-06-01","","2022-01-07"
"LU0344579056","21156","Thomas Hauser","2004-06-01","","2022-01-07"
"LU0348783233","131660","Ian Lee","2014-03-01","","2022-01-07"
"LU0348783233","93906","Winchester Stuart","2000-01-01","","2022-01-07"
"LU0348784397","131660","Ian Lee","2014-03-01","","2022-01-07"
"LU0348784397","93906","Winchester Stuart","2000-01-01","","2022-01-07"
"LU0348814723","173873","Yuming Pan","2013-10-01","","2022-01-07"
"LU0348814723","8680","Raymond Chan","2013-10-01","","2022-01-07"
"LU0348816934","173873","Yuming Pan","2013-10-01","","2022-01-07"
"LU0348816934","8680","Raymond Chan","2013-10-01","","2022-01-07"
"LU0356780857","10024","Robert Cook","2004-06-01","","2022-01-07"
"LU0356780857","21156","Thomas Hauser","2004-06-01","","2022-01-07"
"LU0471471150","131815","Pierre-Yves Bareau","2009-11-01","","2022-01-07"
"LU0471471150","181192","Emil Babayev","2015-09-07","","2022-01-07"
"LU0531876844","169350","Not Disclosed","2010-10-11","","2022-01-07"
"LU0545039389","165240","Andrew Wheatley-Hubbard","2013-01-01","","2022-01-07"
"LU0545039389","185474","Olivia Treharne","2020-02-01","","2022-01-07"
"LU0560541111","9312","Dean Cashman","2006-07-05","","2022-01-07"
"LU0683600562","180095","Anthony Nappo","2015-06-30","","2022-01-07"
"LU0683600562","3213","Kurt Feuerman","2012-05-16","","2022-01-07"
"LU0689472784","154970","David Oberto","2017-01-01","","2022-01-07"
"LU0689472784","7480","Douglas Forsyth","2011-05-31","","2022-01-07"
"LU0689472784","75138","Justin Kass","2011-05-31","","2022-01-07"
"LU0689472784","9487","Michael Yee","2011-05-31","","2022-01-07"
"LU0708185235","169350","Not Disclosed","2011-01-21","","2022-01-07"
"LU0727847666","10024","Robert Cook","2004-06-01","","2022-01-07"
"LU0727847666","21156","Thomas Hauser","2004-06-01","","2022-01-07"
"LU0744789560","169350","Not Disclosed","2011-01-21","","2022-01-07"
"LU0762541174","109353","Denis Gould","2012-05-25","","2022-01-07"
"LU0762542818","109353","Denis Gould","2012-05-25","","2022-01-07"
"LU0784640038","10024","Robert Cook","2019-09-04","","2022-01-07"
"LU0784640038","195633","Jeffrey Lovell","2019-09-04","","2022-01-07"
